,train_loss
1,1.6867497
2,1.4552083
3,1.3640535
4,1.2898127
5,1.241099
6,1.1916242
7,1.1681174
8,1.1412756
9,1.1025126
10,1.0931621
11,1.071847
12,1.0359635
13,1.0479715
14,1.0291127
15,1.031619
16,1.0209346
17,1.0040838
18,0.99067193
19,0.9920373
20,0.97646755
21,0.96062887
22,0.96702486
23,0.94158745
24,0.96736133
25,0.96466535
26,0.93607575
27,0.9444167
28,0.930439
29,0.93084025
30,0.95849997
31,0.92927814
32,0.9022778
33,0.9201636
34,0.9139703
35,0.90139246
36,0.8971981
37,0.8897176
38,0.89100623
39,0.88034135
40,0.87090474
41,0.8736491
42,0.89035136
43,0.88205194
44,0.89250857
45,0.86267626
46,0.8665353
47,0.8729852
48,0.85806984
49,0.8610601
50,0.86101544
51,0.8568873
52,0.88501793
53,0.85561204
54,0.8395168
55,0.8364585
56,0.8454026
57,0.8520746
58,0.8406794
59,0.83474785
60,0.8426463
61,0.66533303
62,0.6287352
63,0.61597675
64,0.61426544
65,0.60900414
66,0.60606605
67,0.5966464
68,0.6041768
69,0.591424
70,0.59423333
71,0.6002474
72,0.5909271
73,0.579492
74,0.5838389
75,0.584515
76,0.573037
77,0.57984763
78,0.57638973
79,0.5771718
80,0.5727276
81,0.57143074
82,0.5663238
83,0.5694081
84,0.566294
85,0.5645669
86,0.56209165
87,0.5579238
88,0.5602269
89,0.5674417
90,0.56147283
91,0.55951375
92,0.55640143
93,0.55771637
94,0.551431
95,0.5533854
96,0.55161667
97,0.55759364
98,0.55238926
99,0.5474237
100,0.55080837
101,0.5502878
102,0.5529772
103,0.54171515
104,0.54615235
105,0.5454534
106,0.5417461
107,0.54090947
108,0.5427008
109,0.54741955
110,0.5457869
111,0.53795135
112,0.53991413
113,0.54282993
114,0.53840786
115,0.53366834
116,0.53379226
117,0.53699946
118,0.53743994
119,0.5388155
120,0.5322394
121,0.5197417
122,0.51753795
123,0.5201312
124,0.5141924
125,0.5111122
126,0.51731354
127,0.509466
128,0.5131386
129,0.51329
130,0.5094639
131,0.5124317
132,0.5147989
133,0.5095903
134,0.5122309
135,0.51091576
136,0.5099461
137,0.5108163
138,0.50820756
139,0.50897646
140,0.5109653
141,0.50855523
142,0.5108907
143,0.5116529
144,0.5076702
145,0.51463056
146,0.5101592
147,0.50637865
148,0.5057859
149,0.5085022
150,0.5104688
