,valid_accuracy
1,25.28
2,34.18
3,38.04
4,37.95
5,41.67
6,43.41
7,43.3
8,50.43
9,49.56
10,45.08
11,52.3
12,52.69
13,58.05
14,57.89
15,51.67
16,60.56
17,61.73
18,62.85
19,63.68
20,64.39
21,62.39
22,66.42
23,66.47
24,65.42
25,64.58
26,67.86
27,66.39
28,59.57
29,70.1
30,67.41
31,68.5
32,70.72
33,65.92
34,68.78
35,69.61
36,70.75
37,68.57
38,70.42
39,70.26
40,72.72
41,73.03
42,72.44
43,73.91
44,72.61
45,74.39
46,74.56
47,74.61
48,71.8
49,73.99
50,72.22
51,73.57
52,74.29
53,72.73
54,73.71
55,74.95
56,73.31
57,75.21
58,75.46
59,74.91
60,75.02
61,77.58
62,77.27
63,77.8
64,77.69
65,77.34
66,78.09
67,77.62
68,77.98
69,77.54
70,77.37
71,78.12
72,78.27
73,78.23
74,77.64
75,77.89
76,78.68
77,78.53
78,78.16
79,77.97
80,78.63
81,78.07
82,78.46
83,78.16
84,78.03
85,77.89
86,78.35
87,78.25
88,78.59
89,78.21
90,78.24
91,78.49
92,78.46
93,77.81
94,78.52
95,78.56
96,77.94
97,78.73
98,78.73
99,78.31
100,78.36
101,78.41
102,78.38
103,78.45
104,78.41
105,78.65
106,78.39
107,78.24
108,78.65
109,78.19
110,78.63
111,78.71
112,78.93
113,78.63
114,77.7
115,79.19
116,78.67
117,78.54
118,78.5
119,78.43
120,78.18
121,78.61
122,79.15
123,78.91
124,78.63
125,78.87
126,79.06
127,78.71
128,78.78
129,78.37
130,79.0
131,78.37
132,78.53
133,78.61
134,79.05
135,78.63
136,78.73
137,78.88
138,78.6
139,78.41
140,78.73
141,78.84
142,78.67
143,79.11
144,78.5
145,78.77
146,78.83
147,78.43
148,78.71
149,79.29
150,78.56
