,valid_accuracy
1,49.52
2,49.11
3,47.66
4,57.67
5,58.93
6,62.94
7,56.8
8,60.4
9,65.62
10,61.66
11,65.62
12,67.02
13,67.22
14,69.54
15,69.12
16,69.69
17,68.69
18,69.2
19,67.44
20,70.18
21,69.88
22,72.31
23,70.13
24,70.53
25,71.54
26,70.15
27,71.4
28,73.08
29,70.27
30,68.23
31,70.92
32,68.71
33,70.54
34,72.21
35,73.38
36,72.83
37,71.23
38,71.47
39,70.82
40,72.02
41,68.06
42,68.61
43,68.09
44,73.88
45,70.56
46,70.8
47,72.8
48,72.34
49,72.53
50,72.26
51,72.29
52,72.45
53,71.82
54,74.27
55,70.37
56,74.71
57,74.84
58,72.95
59,72.67
60,75.13
61,77.3
62,78.31
63,78.49
64,78.77
65,78.25
66,79.27
67,79.19
68,79.19
69,78.81
70,78.46
71,79.13
72,79.18
73,79.18
74,79.33
75,79.38
76,79.41
77,79.39
78,79.87
79,79.52
80,79.2
81,79.55
82,79.25
83,80.08
84,79.57
85,79.99
86,79.52
87,79.01
88,79.9
89,79.29
90,79.81
91,79.86
92,79.35
93,79.03
94,79.65
95,79.38
96,79.58
97,79.82
98,80.31
99,80.35
100,79.81
101,79.99
102,80.16
103,79.99
104,79.88
105,79.56
106,79.73
107,79.59
108,79.82
109,79.83
110,79.87
111,80.0
112,79.42
113,79.69
114,79.7
115,79.61
116,79.75
117,79.83
118,79.34
119,80.25
120,79.35
121,80.32
122,80.28
123,80.9
124,80.05
125,80.14
126,80.1
127,80.38
128,80.6
129,80.78
130,80.57
131,80.42
132,80.47
133,80.58
134,80.61
135,80.59
136,80.83
137,80.26
138,80.48
139,80.8
140,80.65
141,80.38
142,80.17
143,80.79
144,80.44
145,80.65
146,80.24
147,81.02
148,80.12
149,79.64
150,80.3
