,valid_accuracy
1,34.74
2,24.9
3,53.91
4,69.83
5,74.04
6,79.21
7,78.93
8,76.18
9,79.05
10,80.6
11,72.06
12,80.64
13,81.1
14,81.7
15,46.52
16,70.54
17,81.98
18,83.59
19,80.91
20,82.35
21,84.72
22,86.7
23,86.28
24,81.31
25,85.28
26,85.49
27,80.16
28,86.03
29,87.15
30,84.0
31,84.74
32,80.97
33,83.7
34,85.05
35,85.29
36,85.03
37,86.05
38,87.57
39,87.36
40,87.18
41,83.97
42,88.23
43,86.08
44,88.12
45,87.65
46,87.59
47,82.12
48,87.64
49,87.01
50,88.55
51,86.68
52,86.51
53,86.84
54,84.91
55,88.59
56,80.17
57,83.3
58,83.53
59,88.98
60,86.98
61,86.39
62,88.76
63,88.75
64,89.13
65,88.8
66,88.77
67,84.73
68,88.9
69,88.0
70,88.85
71,88.93
72,86.19
73,88.55
74,89.14
75,87.84
76,88.9
77,87.98
78,87.79
79,89.03
80,88.46
81,88.89
82,88.44
83,88.87
84,83.96
85,88.85
86,88.07
87,89.71
88,76.4
89,89.57
90,87.35
91,89.25
92,87.03
93,89.01
94,72.66
95,89.31
96,85.27
97,89.4
98,88.61
99,89.72
100,89.34
101,89.42
102,88.11
103,89.47
104,82.55
105,89.29
106,89.22
107,89.17
108,89.33
109,88.33
110,89.62
111,87.61
112,89.19
113,89.0
114,89.26
115,89.19
116,89.96
117,89.07
118,89.97
119,89.15
120,87.58
121,89.29
122,84.26
123,88.29
124,89.82
125,87.69
126,88.4
127,89.8
128,88.38
129,89.65
130,89.85
131,89.88
132,89.89
133,89.94
134,89.44
135,89.68
136,89.34
137,89.41
138,86.93
139,89.5
140,89.92
141,87.17
142,89.77
143,89.29
144,88.23
145,89.77
146,90.02
147,90.15
148,90.16
149,89.65
150,87.52
151,90.36
152,90.35
153,90.8
154,90.48
155,90.68
156,90.94
157,90.99
158,90.75
159,90.82
160,90.78
161,90.78
162,90.8
163,90.99
164,91.17
165,90.61
166,91.13
167,90.7
168,90.93
169,90.85
170,90.59
171,90.75
172,90.98
173,91.09
174,90.96
175,90.9
176,91.14
177,90.79
178,91.21
179,90.79
180,90.73
181,90.73
182,90.94
183,90.86
184,91.14
185,90.92
186,91.06
187,90.88
188,90.91
189,90.8
190,91.03
191,90.79
192,91.0
193,90.99
194,91.13
195,90.83
196,91.18
197,91.13
198,90.66
199,91.17
200,91.2
201,90.77
202,90.93
203,90.56
204,90.96
205,90.51
206,90.84
207,90.77
208,90.96
209,90.86
210,90.92
211,90.78
212,91.05
213,90.79
214,91.03
215,90.73
216,91.11
217,90.83
218,91.02
219,91.27
220,91.34
221,90.93
222,90.94
223,90.92
224,91.26
225,91.03
226,90.92
227,91.03
228,91.27
229,90.96
230,90.96
231,91.21
232,91.2
233,91.35
234,91.27
235,91.03
236,90.95
237,90.82
238,91.08
239,91.17
240,90.57
241,91.1
242,91.03
243,90.94
244,90.84
245,91.22
246,90.83
247,90.93
248,90.81
249,90.89
250,90.89
251,91.17
252,90.81
253,91.08
254,91.09
255,90.82
256,90.74
257,91.15
258,91.08
259,90.93
260,90.76
261,91.26
262,91.1
263,90.86
264,91.03
265,91.09
266,91.16
267,90.9
268,90.81
269,91.06
270,90.73
271,90.81
272,90.9
273,90.57
274,90.94
275,91.04
276,90.99
277,90.63
278,90.87
279,90.71
280,91.05
281,91.09
282,91.27
283,91.05
284,90.95
285,90.94
286,90.81
287,91.09
288,90.91
289,91.12
290,91.52
291,90.98
292,90.79
293,91.03
294,90.96
295,91.1
296,91.12
297,90.76
298,91.14
299,91.05
300,91.37
