,valid_accuracy
1,76.8
2,86.49
3,87.69
4,89.76
5,89.82
6,91.11
7,91.7
8,92.28
9,92.42
10,92.32
11,93.56
12,93.35
13,93.82
14,93.78
15,94.34
16,94.31
17,94.34
18,94.62
19,94.72
20,94.67
21,95.0
22,94.91
23,94.88
24,95.06
25,94.71
26,94.46
27,94.95
28,95.37
29,95.11
30,95.37
31,95.24
32,95.33
33,95.37
34,95.32
35,95.46
36,95.45
37,95.43
38,95.75
39,95.59
40,95.8
41,95.88
42,95.62
43,95.8
44,95.71
45,95.94
46,95.73
47,95.75
48,95.94
49,95.94
50,95.74
51,95.67
52,95.83
53,95.85
54,95.97
55,96.06
56,95.95
57,95.92
58,95.83
59,95.99
60,96.03
61,95.99
62,96.11
63,96.1
64,96.17
65,96.09
66,96.14
67,96.13
68,96.15
69,96.13
70,96.21
71,96.19
72,96.27
73,96.19
74,96.21
75,96.24
76,96.21
77,96.14
78,96.18
79,96.26
80,96.22
81,96.27
82,96.23
83,96.3
84,96.23
85,96.3
86,96.32
87,96.24
88,96.35
89,96.27
90,96.24
91,96.28
92,96.21
93,96.41
94,96.25
95,96.29
96,96.33
97,96.39
98,96.34
99,96.37
100,96.32
