,valid_accuracy
1,52.95
2,65.27
3,73.59
4,75.04
5,75.94
6,76.49
7,76.49
8,76.81
9,76.61
10,77.06
11,77.36
12,77.43
13,77.44
14,77.51
15,77.65
16,77.82
17,77.81
18,77.66
19,77.9
20,77.8
21,77.83
22,77.84
23,77.65
24,77.85
25,78.08
26,77.94
27,77.97
28,77.88
29,78.07
30,77.93
31,77.73
32,78.09
33,77.93
34,78.13
35,77.81
36,77.93
37,78.1
38,77.9
39,77.95
40,77.98
41,78.01
42,78.06
43,78.06
44,78.08
45,78.06
46,78.24
47,78.08
48,78.3
49,78.03
50,78.14
51,78.03
52,78.11
53,78.05
54,78.18
55,78.18
56,78.25
57,78.24
58,78.19
59,78.27
60,78.36
61,78.43
62,78.4
63,78.45
64,78.42
65,78.45
66,78.36
67,78.43
68,78.4
69,78.43
70,78.41
71,78.4
72,78.45
73,78.45
74,78.38
75,78.41
76,78.43
77,78.47
78,78.36
79,78.41
80,78.43
81,78.36
82,78.41
83,78.43
84,78.4
85,78.35
86,78.4
87,78.43
88,78.45
89,78.43
90,78.43
91,78.41
92,78.45
93,78.39
94,78.4
95,78.42
96,78.44
97,78.39
98,78.44
99,78.49
100,78.39
