,valid_accuracy
1,91.23
2,92.49
3,92.99
4,93.16
5,93.57
6,93.73
7,93.63
8,94.01
9,94.09
10,94.53
11,94.89
12,94.51
13,94.65
14,94.31
15,94.08
16,94.64
17,95.14
18,95.31
19,94.99
20,95.08
21,94.91
22,94.42
23,95.23
24,94.96
25,95.04
26,94.87
27,95.43
28,95.54
29,95.35
30,94.73
31,95.45
32,95.35
33,95.39
34,95.34
35,95.44
36,95.37
37,95.5
38,95.52
39,95.39
40,95.25
41,95.44
42,95.71
43,95.21
44,95.54
45,95.12
46,95.63
47,95.53
48,95.68
49,95.42
50,95.26
51,95.22
52,95.37
53,95.69
54,95.34
55,95.64
56,95.28
57,95.68
58,95.56
59,95.6
60,95.72
61,95.85
62,95.99
63,95.79
64,95.88
65,95.92
66,95.93
67,95.91
68,95.93
69,95.98
70,95.96
71,95.99
72,95.95
73,95.92
74,96.01
75,95.93
76,95.94
77,95.95
78,95.99
79,95.94
80,96.04
81,96.04
82,95.87
83,96.01
84,95.9
85,95.96
86,96.02
87,96.03
88,95.99
89,96.03
90,96.05
91,96.1
92,96.01
93,96.09
94,96.01
95,95.97
96,95.94
97,95.92
98,95.98
99,96.01
100,96.01
