,valid_accuracy
1,57.84
2,66.28
3,66.84
4,68.01
5,71.03
6,73.58
7,73.44
8,72.98
9,74.89
10,74.93
11,76.23
12,76.3
13,76.77
14,77.49
15,76.58
16,77.36
17,77.06
18,78.23
19,78.2
20,78.52
21,79.95
22,79.5
23,79.51
24,80.09
25,79.57
26,78.58
27,80.35
28,79.99
29,79.55
30,79.74
31,78.93
32,80.03
33,80.42
34,80.36
35,79.05
36,81.1
37,80.8
38,80.81
39,81.13
40,81.58
41,80.63
42,81.78
43,80.84
44,80.72
45,80.74
46,80.6
47,80.96
48,81.52
49,80.84
50,81.22
51,81.58
52,81.66
53,81.41
54,81.29
55,80.82
56,81.26
57,81.35
58,82.19
59,81.92
60,81.61
61,82.4
62,82.95
63,83.12
64,82.86
65,83.24
66,83.05
67,83.25
68,83.21
69,83.68
70,83.11
71,83.41
72,83.32
73,83.41
74,83.39
75,83.11
76,83.39
77,83.5
78,83.59
79,83.55
80,83.37
81,83.58
82,83.0
83,82.71
84,83.68
85,83.56
86,83.24
87,83.52
88,83.95
89,82.77
90,83.61
91,83.63
92,83.0
93,83.19
94,83.8
95,83.2
96,83.46
97,83.67
98,83.29
99,82.84
100,84.1
101,83.62
102,83.2
103,83.69
104,83.71
105,83.42
106,83.44
107,83.37
108,83.75
109,83.54
110,83.37
111,83.36
112,83.26
113,83.15
114,83.36
115,83.71
116,83.13
117,83.6
118,83.42
119,83.86
120,83.25
121,83.6
122,83.83
123,83.36
124,83.55
125,83.25
126,83.6
127,83.72
128,83.73
129,83.46
130,84.04
131,83.97
132,83.94
133,83.64
134,83.56
135,83.58
136,83.67
137,83.97
138,83.51
139,83.34
140,83.81
141,83.55
142,83.3
143,83.76
144,83.57
145,83.71
146,83.03
147,83.52
148,83.35
149,83.91
150,83.58
