,valid_accuracy
1,87.03
2,90.27
3,91.23
4,91.53
5,92.65
6,93.02
7,93.38
8,93.36
9,93.36
10,93.34
11,94.11
12,94.11
13,94.27
14,94.42
15,94.51
16,94.6
17,94.55
18,94.81
19,94.75
20,94.83
21,94.7
22,95.09
23,95.07
24,95.06
25,95.16
26,95.01
27,95.01
28,95.47
29,95.71
30,95.26
31,95.22
32,95.44
33,95.41
34,95.44
35,95.68
36,95.53
37,95.58
38,95.34
39,95.6
40,95.76
41,95.43
42,95.47
43,95.72
44,95.62
45,95.61
46,95.5
47,95.84
48,95.63
49,95.85
50,95.68
51,95.54
52,95.51
53,95.82
54,95.76
55,95.81
56,95.87
57,95.96
58,95.84
59,95.88
60,95.69
61,96.04
62,96.08
63,96.19
64,96.16
65,96.17
66,96.15
67,96.12
68,96.21
69,96.15
70,96.1
71,96.13
72,96.16
73,96.15
74,96.13
75,96.17
76,96.18
77,96.11
78,96.15
79,96.16
80,96.22
81,96.14
82,96.15
83,96.25
84,96.18
85,96.12
86,96.24
87,96.31
88,96.21
89,96.26
90,96.31
91,96.22
92,96.21
93,96.28
94,96.16
95,96.21
96,96.29
97,96.28
98,96.23
99,96.26
100,96.31
