,valid_accuracy
1,48.36
2,48.25
3,48.73
4,48.18
5,48.85
6,48.01
7,48.61
8,48.18
9,47.87
10,48.34
11,47.91
12,48.67
13,48.78
14,48.83
15,48.51
16,48.93
17,48.54
18,48.76
19,48.74
20,48.38
21,48.4
22,48.23
23,48.07
24,48.32
25,48.7
26,48.66
27,48.85
28,48.39
29,48.68
30,48.91
31,48.38
32,48.45
33,48.47
34,48.61
35,48.21
36,47.98
37,48.83
38,48.55
39,48.63
40,48.59
41,48.49
42,48.29
43,48.67
44,48.67
45,48.37
46,48.33
47,48.09
48,48.44
49,48.61
50,47.89
51,48.54
52,48.5
53,48.73
54,48.37
55,48.34
56,48.08
57,48.42
58,48.4
59,48.31
60,48.43
61,48.55
62,48.57
63,48.56
64,48.6
65,48.64
66,48.69
67,48.68
68,48.72
69,48.75
70,48.7
71,48.72
72,48.62
73,48.62
74,48.62
75,48.64
76,48.63
77,48.6
78,48.68
79,48.63
80,48.65
81,48.71
82,48.73
83,48.7
84,48.63
85,48.67
86,48.63
87,48.71
88,48.73
89,48.69
90,48.71
91,48.73
92,48.66
93,48.63
94,48.69
95,48.69
96,48.66
97,48.69
98,48.72
99,48.81
100,48.85
