,valid_accuracy
1,57.7
2,58.06
3,58.32
4,58.36
5,58.44
6,58.25
7,58.56
8,58.75
9,58.32
10,58.33
11,58.62
12,58.42
13,58.46
14,59.15
15,58.54
16,58.39
17,58.73
18,58.38
19,58.51
20,58.83
21,58.48
22,58.49
23,57.83
24,58.38
25,58.32
26,58.21
27,58.71
28,58.34
29,58.71
30,58.55
31,57.96
32,57.77
33,58.34
34,58.14
35,58.55
36,58.62
37,58.45
38,58.39
39,58.62
40,58.26
41,58.58
42,58.59
43,58.47
44,58.5
45,58.44
46,58.02
47,58.18
48,58.04
49,58.55
50,58.21
51,57.96
52,57.89
53,58.13
54,58.22
55,58.29
56,58.43
57,58.36
58,58.2
59,58.49
60,58.53
61,58.53
62,58.54
63,58.64
64,58.61
65,58.66
66,58.68
67,58.6
68,58.64
69,58.7
70,58.66
71,58.63
72,58.72
73,58.72
74,58.77
75,58.77
76,58.82
77,58.7
78,58.71
79,58.74
80,58.71
81,58.72
82,58.73
83,58.81
84,58.9
85,58.82
86,58.9
87,58.86
88,58.86
89,58.82
90,58.83
91,58.82
92,58.85
93,58.83
94,58.75
95,58.84
96,58.87
97,58.76
98,58.85
99,58.86
100,58.86
