,valid_accuracy
1,47.38
2,47.67
3,47.89
4,47.73
5,48.2
6,48.04
7,48.21
8,48.42
9,48.47
10,48.32
11,48.38
12,48.39
13,48.3
14,48.35
15,48.43
16,48.52
17,48.38
18,48.51
19,48.54
20,48.63
21,48.52
22,48.51
23,48.46
24,48.49
25,48.46
26,48.65
27,48.74
28,48.67
29,48.45
30,48.53
31,48.53
32,48.49
33,48.57
34,48.58
35,48.58
36,48.7
37,48.41
38,48.62
39,48.51
40,48.56
41,48.57
42,48.59
43,48.67
44,48.55
45,48.41
46,48.61
47,48.63
48,48.6
49,48.72
50,48.5
51,48.72
52,48.66
53,48.63
54,48.63
55,48.61
56,48.61
57,48.64
58,48.55
59,48.68
60,48.63
61,48.7
62,48.7
63,48.71
64,48.73
65,48.71
66,48.7
67,48.69
68,48.69
69,48.73
70,48.7
71,48.69
72,48.69
73,48.71
74,48.71
75,48.7
76,48.67
77,48.73
78,48.74
79,48.73
80,48.67
81,48.67
82,48.66
83,48.73
84,48.73
85,48.7
86,48.69
87,48.69
88,48.71
89,48.68
90,48.69
91,48.66
92,48.62
93,48.65
94,48.68
95,48.65
96,48.69
97,48.67
98,48.68
99,48.67
100,48.72
