,valid_accuracy
1,16.44
2,22.05
3,29.05
4,30.98
5,36.77
6,42.3
7,44.75
8,53.35
9,59.46
10,63.03
11,65.01
12,65.93
13,66.9
14,67.6
15,68.12
16,68.72
17,69.82
18,71.29
19,71.89
20,72.44
21,72.91
22,73.38
23,73.56
24,73.78
25,73.99
26,74.03
27,74.12
28,74.29
29,74.43
30,74.53
31,74.65
32,74.77
33,74.98
34,74.93
35,75.16
36,75.32
37,75.31
38,75.4
39,75.43
40,75.47
41,75.54
42,75.69
43,75.64
44,75.77
45,75.9
46,75.95
47,75.93
48,76.0
49,75.99
50,76.09
51,76.06
52,76.17
53,76.14
54,76.18
55,76.28
56,76.37
57,76.35
58,76.32
59,76.36
60,76.41
61,76.4
62,76.41
63,76.37
64,76.42
65,76.4
66,76.38
67,76.37
68,76.4
69,76.44
70,76.43
71,76.4
72,76.43
73,76.4
74,76.44
75,76.45
76,76.42
77,76.47
78,76.45
79,76.5
80,76.47
81,76.5
82,76.43
83,76.4
84,76.45
85,76.49
86,76.49
87,76.47
88,76.51
89,76.54
90,76.51
91,76.52
92,76.49
93,76.49
94,76.48
95,76.49
96,76.53
97,76.53
98,76.56
99,76.53
100,76.56
