,valid_accuracy
1,39.33
2,53.41
3,52.17
4,57.96
5,57.55
6,57.12
7,60.44
8,59.13
9,64.9
10,56.23
11,66.03
12,63.85
13,65.29
14,67.15
15,53.38
16,68.61
17,60.21
18,69.39
19,69.69
20,64.87
21,53.33
22,65.59
23,63.58
24,66.71
25,64.2
26,63.32
27,54.23
28,67.66
29,67.62
30,71.64
31,69.62
32,64.24
33,64.99
34,67.71
35,66.53
36,69.03
37,64.42
38,59.14
39,70.5
40,68.11
41,69.3
42,68.69
43,62.66
44,65.44
45,65.87
46,66.93
47,67.46
48,67.12
49,66.51
50,64.74
51,68.29
52,67.4
53,59.54
54,65.03
55,60.91
56,65.48
57,66.64
58,66.51
59,57.18
60,66.84
61,71.85
62,73.31
63,73.82
64,74.25
65,74.34
66,75.13
67,74.97
68,74.7
69,74.98
70,76.04
71,75.59
72,76.08
73,76.09
74,76.14
75,76.35
76,76.05
77,74.82
78,76.48
79,76.18
80,76.87
81,76.63
82,77.12
83,76.66
84,76.87
85,76.93
86,77.33
87,77.36
88,77.04
89,77.1
90,77.43
91,77.43
92,77.23
93,77.49
94,77.67
95,77.76
96,77.51
97,77.43
98,77.24
99,77.77
100,77.57
101,77.64
102,77.9
103,77.78
104,77.44
105,78.09
106,78.18
107,77.95
108,77.88
109,78.65
110,77.98
111,78.21
112,78.68
113,78.51
114,77.78
115,77.76
116,78.24
117,77.93
118,78.12
119,77.8
120,78.45
121,78.96
122,78.15
123,78.28
124,79.12
125,78.67
126,78.26
127,78.85
128,79.04
129,78.83
130,78.96
131,78.52
132,78.76
133,78.63
134,78.96
135,78.31
136,78.84
137,79.03
138,78.83
139,79.08
140,78.98
141,78.68
142,79.29
143,79.12
144,78.93
145,78.76
146,78.75
147,79.02
148,78.56
149,79.01
150,79.02
