,valid_accuracy
1,89.87
2,91.91
3,93.05
4,93.71
5,93.95
6,93.88
7,94.18
8,94.76
9,94.88
10,94.84
11,94.97
12,95.22
13,95.31
14,95.16
15,95.44
16,95.62
17,95.28
18,95.4
19,95.59
20,95.66
21,96.0
22,95.69
23,95.95
24,96.09
25,96.12
26,95.93
27,96.28
28,95.92
29,96.21
30,96.26
31,96.23
32,96.13
33,96.28
34,96.42
35,96.27
36,96.29
37,96.11
38,96.12
39,96.2
40,96.52
41,96.17
42,96.42
43,96.15
44,96.58
45,96.48
46,96.27
47,96.42
48,96.47
49,96.58
50,96.31
51,96.38
52,96.4
53,96.42
54,96.66
55,96.43
56,96.47
57,96.37
58,96.33
59,96.38
60,96.34
61,96.56
62,96.6
63,96.6
64,96.68
65,96.69
66,96.61
67,96.65
68,96.64
69,96.6
70,96.69
71,96.68
72,96.63
73,96.66
74,96.68
75,96.71
76,96.66
77,96.69
78,96.71
79,96.72
80,96.79
81,96.75
82,96.71
83,96.71
84,96.78
85,96.67
86,96.69
87,96.64
88,96.58
89,96.73
90,96.7
91,96.69
92,96.76
93,96.79
94,96.78
95,96.75
96,96.73
97,96.73
98,96.74
99,96.77
100,96.71
