,valid_loss
1,2.1197195
2,1.7008241
3,1.2900012
4,0.9228194
5,0.93249494
6,0.84978956
7,0.7990324
8,0.8799141
9,0.76569426
10,0.62641144
11,0.51292837
12,0.5780263
13,0.51660347
14,0.49352986
15,0.7109968
16,0.5101173
17,0.8172953
18,0.8577173
19,0.5063011
20,0.42838928
21,0.5571579
22,0.43007472
23,0.53401387
24,0.48129937
25,1.0587641
26,0.47513613
27,0.41095367
28,0.6263717
29,0.71154964
30,0.49520093
31,0.4448924
32,0.83400387
33,0.45636252
34,0.68027925
35,1.8226948
36,0.42834303
37,0.65970457
38,0.44379398
39,0.55546224
40,1.0786219
41,0.4319848
42,0.45885053
43,0.81188065
44,0.69198567
45,0.76570827
46,0.46579695
47,0.4381036
48,0.43038452
49,0.671521
50,0.8433924
51,0.44679004
52,0.61442167
53,0.4598109
54,1.5333036
55,0.43399352
56,0.647602
57,0.4681332
58,0.51503295
59,0.5382019
60,0.57871246
61,0.42605877
62,0.7048823
63,0.4539134
64,0.43231586
65,1.2486078
66,0.42628667
67,0.46509907
68,0.70093066
69,0.5781075
70,0.46219528
71,0.45684817
72,0.44105133
73,0.6079081
74,0.4600548
75,0.5599404
76,1.9193201
77,0.44686466
78,0.45940456
79,0.46915802
80,0.5077698
81,0.9579534
82,0.45523393
83,0.4688874
84,0.48162043
85,0.5005892
86,0.4804166
87,0.47720528
88,0.46806526
89,0.5014486
90,0.746247
91,0.4940118
92,0.4805613
93,1.7174362
94,0.6976213
95,0.47405604
96,0.45882252
97,0.6004207
98,0.47823015
99,0.5756316
100,0.65125376
101,0.7680881
102,0.46811292
103,0.5394948
104,0.47293043
105,0.46607333
106,0.56136405
107,0.5468925
108,0.5162887
109,0.743661
110,0.6558343
111,0.49785542
112,0.49135274
113,0.60867524
114,0.5073459
115,0.48943824
116,0.4712283
117,0.5163537
118,0.5313647
119,0.8396424
120,0.5518927
121,0.6045643
122,0.5704983
123,0.5028411
124,0.492618
125,0.789024
126,0.5469081
127,0.50532246
128,0.5092675
129,0.61398315
130,0.5446662
131,0.51255405
132,0.47417352
133,0.5250428
134,0.49681678
135,0.56315196
136,0.50311947
137,0.51526964
138,0.5050273
139,0.50347316
140,0.5428405
141,0.5029843
142,0.51448596
143,0.51497775
144,0.5008828
145,0.71660227
146,0.5332629
147,0.544306
148,0.5437096
149,0.6828855
150,0.52869475
151,0.47889167
152,0.48796356
153,0.4847012
154,0.48656607
155,0.4823417
156,0.48786578
157,0.47847074
158,0.47546872
159,0.4770743
160,0.4828663
161,0.49166715
162,0.4615904
163,0.48349345
164,0.49054044
165,0.49222425
166,0.4985933
167,0.48505953
168,0.48234928
169,0.5003959
170,0.500885
171,0.5002674
172,0.4925161
173,0.5022339
174,0.49977314
175,0.48781976
176,0.50505346
177,0.50661755
178,0.5088544
179,0.5087186
180,0.4979147
181,0.4850821
182,0.50421077
183,0.5009741
184,0.48561
185,0.51422536
186,0.50289917
187,0.5045864
188,0.49761513
189,0.5053465
190,0.5087122
191,0.5069024
192,0.50007296
193,0.5105223
194,0.5074277
195,0.5054151
196,0.51812804
197,0.5033693
198,0.5239985
199,0.48851466
200,0.48202538
201,0.4904583
202,0.5093416
203,0.50981855
204,0.49046972
205,0.48958656
206,0.49079502
207,0.5061619
208,0.51940423
209,0.5075314
210,0.5067228
211,0.49394152
212,0.5187997
213,0.5093551
214,0.5046836
215,0.50217897
216,0.5175531
217,0.51336694
218,0.5225826
219,0.5135445
220,0.5267024
221,0.5211741
222,0.5193866
223,0.51692265
224,0.5101692
225,0.5173513
226,0.5234467
227,0.51978797
228,0.52088
229,0.51829153
230,0.50197124
231,0.52821577
232,0.5306608
233,0.5286756
234,0.5007879
235,0.5137223
236,0.5026804
237,0.51152176
238,0.52041155
239,0.51182365
240,0.5237063
241,0.52882326
242,0.51632
243,0.5193278
244,0.5019678
245,0.5036907
246,0.5121308
247,0.52031904
248,0.5152046
249,0.51802313
250,0.5007458
251,0.5150245
252,0.52081233
253,0.5260792
254,0.51027024
255,0.50113904
256,0.49158004
257,0.52202743
258,0.5118246
259,0.5176141
260,0.50926656
261,0.51962084
262,0.5123071
263,0.51990014
264,0.5179585
265,0.52714765
266,0.5232603
267,0.5148094
268,0.53552556
269,0.51241463
270,0.5131632
271,0.52151185
272,0.52032465
273,0.53036135
274,0.51009
275,0.51868224
276,0.53893507
277,0.5222588
278,0.5162445
279,0.5206407
280,0.5146932
281,0.50045943
282,0.5146944
283,0.5279979
284,0.5023775
285,0.5353603
286,0.50880194
287,0.512241
288,0.5072288
289,0.5122668
290,0.5120655
291,0.5013008
292,0.51601803
293,0.52420825
294,0.5053145
295,0.5192676
296,0.52701503
297,0.5213234
298,0.5282194
299,0.53786105
300,0.5177122
