,train_accuracy
1,51.186
2,63.742
3,68.17
4,70.878
5,72.582
6,73.968
7,75.106
8,76.264
9,76.714
10,77.906
11,78.412
12,78.992
13,79.506
14,79.808
15,80.596
16,80.722
17,81.222
18,81.554
19,82.162
20,82.44
21,82.26
22,82.744
23,83.104
24,83.416
25,83.58
26,83.676
27,84.032
28,84.14
29,84.37
30,84.308
31,84.858
32,85.226
33,85.126
34,85.384
35,85.556
36,85.59
37,85.64
38,86.16
39,85.89
40,86.28
41,86.27
42,86.484
43,86.536
44,86.778
45,86.98
46,86.95
47,87.014
48,87.208
49,87.454
50,87.532
51,87.354
52,87.434
53,87.674
54,87.974
55,87.996
56,87.742
57,87.676
58,88.058
59,88.188
60,88.148
61,90.01
62,90.306
63,90.56
64,90.77
65,90.872
66,90.808
67,90.916
68,90.986
69,91.104
70,91.03
71,91.166
72,91.292
73,91.152
74,91.262
75,91.378
76,91.256
77,91.414
78,91.376
79,91.344
80,91.486
81,91.474
82,91.504
83,91.536
84,91.624
85,91.788
86,91.602
87,91.56
88,91.662
89,91.672
90,91.574
91,91.804
92,91.65
93,91.71
94,91.768
95,91.77
96,91.78
97,92.02
98,91.966
99,91.904
100,91.878
101,91.814
102,91.964
103,91.702
104,91.644
105,92.122
106,91.99
107,92.058
108,91.998
109,92.078
110,92.178
111,92.154
112,92.202
113,92.062
114,92.228
115,92.138
116,92.172
117,92.04
118,92.208
119,92.328
120,92.29
121,92.194
122,92.304
123,92.384
124,92.392
125,92.68
126,92.54
127,92.404
128,92.354
129,92.612
130,92.414
131,92.586
132,92.644
133,92.534
134,92.386
135,92.43
136,92.466
137,92.53
138,92.518
139,92.572
140,92.436
141,92.376
142,92.654
143,92.468
144,92.426
145,92.432
146,92.534
147,92.548
148,92.536
149,92.63
150,92.43
