,train_accuracy
1,40.845
2,47.896667
3,48.95
4,49.235
5,49.381668
6,49.861668
7,50.095
8,49.93
9,49.87
10,50.138332
11,50.195
12,50.545
13,50.691666
14,50.595
15,50.305
16,50.285
17,50.726665
18,50.675
19,50.836666
20,50.976665
21,50.705
22,51.091667
23,51.126667
24,51.081665
25,51.191666
26,50.998333
27,51.02667
28,51.453335
29,51.268333
30,51.273335
31,50.90167
32,51.301666
33,51.056667
34,51.691666
35,51.161667
36,51.331665
37,51.535
38,51.415
39,51.06
40,51.308334
41,51.575
42,51.39
43,51.488335
44,51.825
45,51.196667
46,51.26
47,51.068333
48,51.61
49,51.546665
50,51.72333
51,51.475
52,51.215
53,51.806667
54,51.923332
55,51.385
56,51.546665
57,51.27
58,51.77833
59,51.501667
60,51.585
61,51.753334
62,51.928333
63,51.8
64,52.168335
65,51.753334
66,52.161667
67,51.97
68,52.296665
69,52.17
70,52.305
71,52.263332
72,51.99
73,52.115
74,52.05
75,52.055
76,51.738335
77,51.865
78,52.191666
79,51.706665
80,51.925
81,52.291668
82,51.9
83,51.741665
84,52.168335
85,52.09
86,51.93667
87,52.145
88,51.976665
89,51.998333
90,51.808334
91,51.878334
92,52.123333
93,51.978333
94,52.433334
95,52.15167
96,52.128334
97,51.708332
98,51.76
99,52.11
100,52.03
