,train_accuracy
1,36.638332
2,46.88
3,48.761665
4,49.525
5,49.638332
6,50.386665
7,50.646667
8,50.791668
9,50.618332
10,50.666668
11,50.788334
12,51.078335
13,51.405
14,51.196667
15,51.18833
16,51.46
17,51.523335
18,51.975
19,51.56167
20,51.72
21,51.806667
22,51.57
23,52.246666
24,51.90333
25,52.008335
26,52.033333
27,51.908333
28,52.125
29,51.93
30,52.101665
31,52.12
32,52.073334
33,51.695
34,52.226665
35,51.956665
36,51.93833
37,51.923332
38,52.45
39,52.27833
40,51.96
41,52.226665
42,52.055
43,52.755
44,52.09667
45,52.245
46,52.226665
47,52.13
48,52.305
49,52.386665
50,52.255
51,52.148335
52,52.363335
53,52.033333
54,52.448334
55,52.538334
56,52.601665
57,52.315
58,52.143333
59,52.666668
60,52.338333
61,52.485
62,52.52833
63,52.618332
64,52.643333
65,52.768333
66,52.535
67,53.018333
68,52.691666
69,52.675
70,52.635
71,52.523335
72,53.041668
73,52.671665
74,52.758335
75,52.636665
76,52.97333
77,52.77833
78,52.90333
79,52.693333
80,52.635
81,52.895
82,52.825
83,52.59833
84,52.7
85,52.978333
86,52.996666
87,53.065
88,52.801666
89,52.751667
90,52.73
91,53.035
92,52.928333
93,52.748333
94,52.913334
95,52.916668
96,52.876667
97,52.878334
98,52.87
99,52.731667
100,52.93667
